"","x","mean","lower","upper"
"gp0.p[, 1]52",0.256281407035176,-0.332027860698215,-0.449134873548453,-0.214920847847977
"gp0.p[, 1]53",0.261306532663317,-0.331597961470001,-0.44832634839397,-0.214869574546032
"gp0.p[, 1]54",0.266331658291457,-0.330357042498406,-0.445870476512098,-0.214843608484713
"gp0.p[, 1]55",0.271356783919598,-0.328193441379794,-0.441675010714184,-0.214711872045405
"gp0.p[, 1]56",0.276381909547739,-0.324985157218887,-0.435642323900816,-0.214327990536957
"gp0.p[, 1]57",0.281407035175879,-0.320600571777586,-0.427670680668869,-0.213530462886303
"gp0.p[, 1]58",0.28643216080402,-0.314899493787826,-0.417655965334815,-0.212143022240837
"gp0.p[, 1]59",0.291457286432161,-0.307734592941829,-0.405493924819833,-0.209975261063825
"gp0.p[, 1]60",0.296482412060302,-0.298953303013955,-0.391082994101233,-0.206823611926678
"gp0.p[, 1]61",0.301507537688442,-0.288400288310411,-0.374327781609645,-0.202472795011177
"gp0.p[, 1]62",0.306532663316583,-0.275920584478973,-0.35514330187705,-0.196697867080896
"gp0.p[, 1]63",0.311557788944724,-0.261363543970024,-0.333460052652125,-0.189267035287924
"gp0.p[, 1]64",0.316582914572864,-0.244587738493345,-0.309230043208611,-0.179945433778079
"gp0.p[, 1]65",0.321608040201005,-0.225466996080745,-0.282433889174579,-0.168500102986911
"gp0.p[, 1]66",0.326633165829146,-0.203897779316077,-0.253089096410256,-0.154706462221898
"gp0.p[, 1]67",0.331658291457286,-0.179808144465988,-0.221259662310738,-0.138356626621238
"gp0.p[, 1]68",0.336683417085427,-0.153168559242881,-0.187067129941034,-0.119269988544729
"gp0.p[, 1]69",0.341708542713568,-0.124004900440933,-0.150703250453444,-0.0973065504284215
"gp0.p[, 1]70",0.346733668341709,-0.0924140024831967,-0.112444488406989,-0.0723835165594044
"gp0.p[, 1]71",0.351758793969849,-0.0585821848813976,-0.072668921530237,-0.0444954482325581
"gp0.p[, 1]72",0.35678391959799,-0.0228072517353137,-0.0318773613240107,-0.0137371421466166
"gp0.p[, 1]73",0.361809045226131,0.0144754691874349,0.00927454380837256,0.0196763945664973
"gp0.p[, 1]74",0.366834170854271,0.0526623952722763,0.0499208201611346,0.0554039703834179
"gp0.p[, 1]75",0.371859296482412,0.0909485962481873,0.0891118478923893,0.0927853446039853
"gp0.p[, 1]76",0.376884422110553,0.128367532887919,0.126490559255455,0.130244506520384
"gp0.p[, 1]77",0.381909547738693,0.163997901864526,0.161408913197602,0.166586890531449
"gp0.p[, 1]78",0.386934673366834,0.197129877607198,0.193030965296742,0.201228789917654
"gp0.p[, 1]79",0.391959798994975,0.227287060269136,0.221297297899973,0.233276822638299
"gp0.p[, 1]80",0.396984924623116,0.254189291410609,0.246438576709441,0.261940006111777
"gp0.p[, 1]81",0.402010050251256,0.277712740120117,0.268737416815071,0.286688063425162
"gp0.p[, 1]82",0.407035175879397,0.297855516441449,0.288484579539124,0.307226453343775
"gp0.p[, 1]83",0.412060301507538,0.314708156474639,0.30594174848877,0.323474564460507
"gp0.p[, 1]84",0.417085427135678,0.32842812666757,0.321289475737174,0.335566777597965
"gp0.p[, 1]85",0.422110552763819,0.339217583678978,0.334474423468928,0.343960743889028
"gp0.p[, 1]86",0.42713567839196,0.347303699968749,0.344148944276623,0.350458455660875
"gp0.p[, 1]87",0.4321608040201,0.352921034521646,0.34728216907514,0.358559899968152
"gp0.p[, 1]88",0.437185929648241,0.356298105139115,0.346317617474553,0.366278592803678
"gp0.p[, 1]89",0.442211055276382,0.357652084083223,0.342999460117302,0.372304708049144
"gp0.p[, 1]90",0.447236180904523,0.357187016796546,0.338001293159841,0.376372740433251
"gp0.p[, 1]91",0.452261306532663,0.355092714584255,0.331798959812574,0.378386469355935
"gp0.p[, 1]92",0.457286432160804,0.351544120559048,0.324782654101628,0.378305587016468
"gp0.p[, 1]93",0.462311557788945,0.346701073874991,0.317276012503149,0.376126135246832
"gp0.p[, 1]94",0.467336683417085,0.340708411882108,0.309540562378186,0.371876261386031
"gp0.p[, 1]95",0.472361809045226,0.333696362886409,0.30177721693528,0.365615508837537
"gp0.p[, 1]96",0.477386934673367,0.325781193973671,0.294127243907985,0.357435144039356
"gp0.p[, 1]97",0.482412060301508,0.317066089099146,0.286673308256749,0.347458869941542
"gp0.p[, 1]98",0.487437185929648,0.307642242589233,0.279440750282932,0.335843734895533
"gp0.p[, 1]99",0.492462311557789,0.297590162559076,0.272399126990038,0.322781198128114
"gp0.p[, 1]100",0.49748743718593,0.286981187723827,0.265463904851191,0.308498470596463
"gp0.p[, 1]101",0.50251256281407,0.275879229863907,0.258497726162543,0.29326073356527
